name,region,tags,thumb,url,idx
더 청담,서울 강남구,더청담|하우스웨딩|강남인기웨딩홀|서울웨딩홀|추천웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210420180749_01.jpg,https://weddingcrowd.kr/hall/view.php?idx=4,4
더 컨벤션웨딩홀,서울 송파구,더컨벤션|더컨벤션웨딩홀|서울웨딩홀|역세권웨딩홀|추천웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20220812151852_잠실1.jpg,https://weddingcrowd.kr/hall/view.php?idx=21,21
더 파티움 안산,경기 안산시,더파티움|더파티움안산|안산웨딩홀|시어터웨딩|채플웨딩|호텔웨딩|추천웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422150546_더 파티움 안산.jpg,https://weddingcrowd.kr/hall/view.php?idx=207,207
더AW웨딩컨벤션,경기 안성시,,https://weddingcrowd.kr/data/hall/2408/20240808033534_566217_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1672,1672
더늘봄,경기 남양주시,더늘봄|남양주웨딩홀|한정식웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210422170802_더늘봄.jpg,https://weddingcrowd.kr/hall/view.php?idx=266,266
더루체웨딩,경기 안산시,더루체|더루체웨딩홀|안산추천웨딩홀|단독웨딩홀|컨벤션웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210423123747_더루체.jpg,https://weddingcrowd.kr/hall/view.php?idx=766,766
더리버사이드호텔,서울특별시 서초구,더리버사이드호텔|한강이보이는웨딩홀|서초구인기웨딩홀|호텔웨딩홀|하우스웨딩홀|서울웨딩홀|결혼준비,https://weddingcrowd.kr/data/hall/2406/20220718152706_매거진-웨딩홀사진-수정.jpg,https://weddingcrowd.kr/hall/view.php?idx=50,50
더링크호텔서울,서울 구로구,,https://weddingcrowd.kr/data/hall/2408/20240808045426_958821_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1674,1674
더마레보호텔&웨딩,경기 수원시,,https://weddingcrowd.kr/data/hall/2409/20240924051921_580368_썸네일.jpg,https://weddingcrowd.kr/hall/view.php?idx=1734,1734
더맑음 웨딩홀,대전 서구,,https://weddingcrowd.kr/data/hall/2406/20220928175142_더8.jpg,https://weddingcrowd.kr/hall/view.php?idx=1063,1063
더메리든,경기 성남시,,https://weddingcrowd.kr/data/hall/2407/20240716095707_474217_00.jpg,https://weddingcrowd.kr/hall/view.php?idx=1634,1634
더모임,서울 동대문구,더모임|더모임웨딩홀|하우스웨딩|소규모웨딩|스몰웨딩|야외웨딩|프라이빗웨딩|웨딩홀|3시간예식|단독홀|단독대관|결혼준비,https://weddingcrowd.kr/data/hall/2406/20210421180328_03.jpg,https://weddingcrowd.kr/hall/view.php?idx=1484,1484
